route,location,url,avg_stars,your_stars,route_type,rating,pitches,length_,area_latitude,area_longitude,url_id,grade
Problem B,Slab Boulder > Serengeti Area > Happy Boulders > Volcanic Tablelands (Happy/Sad Boulders) > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/111470685/problem-b,2.0,-1,Boulder,V1,1,10.0,37.41827,-118.45276000000001,111470685,1.0
Problem A,Crispin Waddy Alcove > Serengeti Area > Happy Boulders > Volcanic Tablelands (Happy/Sad Boulders) > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/111470725/problem-a,1.5,-1,Boulder,V1,1,10.0,37.4183,-118.45297,111470725,1.0
Don't Box Me In,Slight Inducement Boulder > Slight Inducement Area > Happy Boulders > Volcanic Tablelands (Happy/Sad Boulders) > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/106086665/dont-box-me-in,1.6,-1,Boulder,V1,1,10.0,37.41898,-118.45338999999998,106086665,1.0
Slight Inducement,Slight Inducement Boulder > Slight Inducement Area > Happy Boulders > Volcanic Tablelands (Happy/Sad Boulders) > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/106086687/slight-inducement,2.9,-1,Boulder,V1,1,12.0,37.41898,-118.45338999999998,106086687,1.0
Andrew's Arête,Stimulus Boulder > Slight Inducement Area > Happy Boulders > Volcanic Tablelands (Happy/Sad Boulders) > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/110129921/andrews-arete,2.0,-1,Boulder,V1,1,13.0,37.41897,-118.45438999999999,110129921,1.0
Old Peculiar,Timmy Taylor's Boulder > Split Melon Area > Happy Boulders > Volcanic Tablelands (Happy/Sad Boulders) > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/114153375/old-peculiar,2.0,-1,Boulder,V1,1,8.0,37.41682,-118.45066000000001,114153375,1.0
De Nile,Cleopatra Area > Happy Boulders > Volcanic Tablelands (Happy/Sad Boulders) > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/107915096/de-nile,2.0,-1,Boulder,V1,1,,37.41873,-118.45395,107915096,1.0
Pupfish Souzaphone,Trombone Area > East Rim Area > Happy Boulders > Volcanic Tablelands (Happy/Sad Boulders) > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/112779352/pupfish-souzaphone,2.0,-1,Boulder,V1+,1,14.0,37.4171,-118.44991,112779352,1.25
Not The Clapper,Clapper Boulder > Clapper Area > West Rim Area > Happy Boulders > Volcanic Tablelands (Happy/Sad Boulders) > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/106272979/not-the-clapper,3.2,-1,Boulder,V1+,1,15.0,37.41533,-118.44877,106272979,1.25
Tequila Flange,Fred Boulder > Savannah Area > Happy Boulders > Volcanic Tablelands (Happy/Sad Boulders) > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/109139833/tequila-flange,1.0,-1,Boulder,V1+,1,15.0,37.4182,-118.4521,109139833,1.25
Secret to Success,Slight Inducement Boulder > Slight Inducement Area > Happy Boulders > Volcanic Tablelands (Happy/Sad Boulders) > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/106086677/secret-to-success,2.5,-1,Boulder,V1+,1,12.0,37.41898,-118.45338999999998,106086677,1.25
Stem Savvy,Slap Happy Boulder > Wavy Gravy Area > Happy Boulders > Volcanic Tablelands (Happy/Sad Boulders) > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/112574281/stem-savvy,2.0,-1,Boulder,V1-2,1,8.0,37.41653,-118.44996,112574281,1.5
Meth Squealer,Slow Dance Cave > Slow Dance/Gleaner Area > Happy Boulders > Volcanic Tablelands (Happy/Sad Boulders) > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/107064199/meth-squealer,1.9,-1,Boulder,V2,1,,37.41624,-118.44938,107064199,2.0
Tin Medusa Left,Corner Boulder > Slow Dance/Gleaner Area > Happy Boulders > Volcanic Tablelands (Happy/Sad Boulders) > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/106275341/tin-medusa-left,2.0,-1,Boulder,V2,1,8.0,37.41632,-118.44928,106275341,2.0
Run With Me,Corridor Boulder > Slow Dance/Gleaner Area > Happy Boulders > Volcanic Tablelands (Happy/Sad Boulders) > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/107027023/run-with-me,2.5,-1,Boulder,V2,1,20.0,37.41617,-118.4493,107027023,2.0
Exit the Rat,Corridor Boulder > Slow Dance/Gleaner Area > Happy Boulders > Volcanic Tablelands (Happy/Sad Boulders) > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/109127864/exit-the-rat,1.3,-1,Boulder,V2,1,10.0,37.41617,-118.4493,109127864,2.0
Big Chicken Stand,Happy Boulder > Central Happiness Area > Happy Boulders > Volcanic Tablelands (Happy/Sad Boulders) > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/109660346/big-chicken-stand,2.7,-1,Boulder,V2,1,17.0,37.41747,-118.45136000000001,109660346,2.0
Beam Me Up Scottie,Solarium Boulder > Central Happiness Area > Happy Boulders > Volcanic Tablelands (Happy/Sad Boulders) > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/106086122/beam-me-up-scottie,2.5,-1,Boulder,V2,1,15.0,37.41737,-118.45125,106086122,2.0
An Art of Leisure,Back Walls > Action Figure Area > East Rim Area > Happy Boulders > Volcanic Tablelands (Happy/Sad Boulders) > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/106976668/an-art-of-leisure,2.0,-1,Boulder,V2,1,15.0,37.41728,-118.45034,106976668,2.0
Sixty Foot Woman Traverse,Sixty Foot Woman Wall > Sixty Foot Woman/Shadow Play Area > East Rim Area > Happy Boulders > Volcanic Tablelands (Happy/Sad Boulders) > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/106326756/sixty-foot-woman-traverse,2.9,-1,Boulder,V2,1,60.0,37.41782,-118.45114,106326756,2.0
Spinal Snap,Shadow Play Boulder > Sixty Foot Woman/Shadow Play Area > East Rim Area > Happy Boulders > Volcanic Tablelands (Happy/Sad Boulders) > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/106331162/spinal-snap,2.8,-1,Boulder,V2,1,15.0,37.41788,-118.45147,106331162,2.0
Spinal Snap Right Start,Shadow Play Boulder > Sixty Foot Woman/Shadow Play Area > East Rim Area > Happy Boulders > Volcanic Tablelands (Happy/Sad Boulders) > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/106331168/spinal-snap-right-start,2.6,-1,Boulder,V2,1,15.0,37.41788,-118.45147,106331168,2.0
Shaker,The Citadel Boulder > Sixty Foot Woman/Shadow Play Area > East Rim Area > Happy Boulders > Volcanic Tablelands (Happy/Sad Boulders) > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/106996410/shaker,0.0,-1,Boulder,V2,1,,37.41793,-118.45156999999999,106996410,2.0
