,Route,Location,URL,Avg Stars,Your Stars,Route Type,Rating,Pitches,Length,Area Latitude,Area Longitude,StarRatings,SuggestedRatings,OnToDoLists,Ticks
63,Good Morning Sunshine,Sunshine Boulder > Buttermilks Main > Buttermilk Country > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/106094043/good-morning-sunshine,3.1,-1,Boulder,V1 PG13,1,22.0,37.328590000000005,-118.57516000000001,116,30,81,173
64,Unnamed 4,Sunshine Boulder > Buttermilks Main > Buttermilk Country > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/107987316/unnamed-4,1.7,-1,Boulder,V1,1,15.0,37.328590000000005,-118.57516000000001,6,1,4,10
65,Unnamed 5,Sunshine Boulder > Buttermilks Main > Buttermilk Country > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/107987323/unnamed-5,2.2,-1,Boulder,V1,1,15.0,37.328590000000005,-118.57516000000001,5,2,5,11
66,Green Wall Arete,Green Wall Boulder > Buttermilks Main > Buttermilk Country > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/106093952/green-wall-arete,2.4,-1,Boulder,V1,1,20.0,37.32873,-118.57534,109,38,69,190
67,Blue Ball Existential,Green Wall Boulder > Buttermilks Main > Buttermilk Country > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/112826595/blue-ball-existential,2.5,-1,Boulder,V1,1,15.0,37.32873,-118.57534,2,1,4,1
68,Problem C,Roadside Boulder > Roadside Area > Buttermilks Main > Buttermilk Country > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/107987405/problem-c,1.1,-1,Boulder,V1,1,12.0,37.3282,-118.5761,10,2,6,10
69,Problem A,Scoop Boulder > Roadside Area > Buttermilks Main > Buttermilk Country > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/107987380/problem-a,2.0,-1,Boulder,V1,1,12.0,37.3282,-118.5762,2,1,8,10
70,"Rib, No Rib",Hero  Roof Boulder > Iron Man Area > Buttermilks Main > Buttermilk Country > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/111729554/rib-no-rib,2.5,-1,Boulder,V1,1,12.0,37.33,-118.5782,17,5,29,30
71,Groovy Grit,Hero  Roof Boulder > Iron Man Area > Buttermilks Main > Buttermilk Country > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/114039783/groovy-grit,2.3,-1,Boulder,V1,1,,37.33,-118.5782,3,2,4,6
72,Problem F,Ranger Rock > Buttermilks Main > Buttermilk Country > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/106060921/problem-f,1.8,-1,Boulder,V1,1,,37.329640000000005,-118.57869,12,4,7,24
73,Five and Dime,Stained Glass/Flyboy Area > Buttermilks Main > Buttermilk Country > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/107204089/five-and-dime,2.6,-1,Boulder,V1,1,,37.33057,-118.57834,18,6,12,28
74,Five and Dime Left Sit Start,Stained Glass/Flyboy Area > Buttermilks Main > Buttermilk Country > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/107204116/five-and-dime-left-sit-start,2.0,-1,Boulder,V1,1,,37.33057,-118.57834,1,1,1,5
75,Ay,Tut Boulder > Buttermilks Main > Buttermilk Country > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/106100333/ay,2.1,-1,Boulder,V1,1,15.0,37.329,-118.5773,31,6,12,51
