,Route,Location,URL,Avg Stars,Your Stars,Route Type,Rating,Pitches,Length,Area Latitude,Area Longitude,StarRatings,SuggestedRatings,OnToDoLists,Ticks
148,Jugs of Life,Happy Boulder > Central Happiness Area > Happy Boulders > Volcanic Tablelands (Happy/Sad Boulders) > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/106086108/jugs-of-life,2.2,-1,Boulder,V1,1,15.0,37.41747,-118.45136000000001,11,3,21,21
149,Castrate Your Television,Happy Boulder > Central Happiness Area > Happy Boulders > Volcanic Tablelands (Happy/Sad Boulders) > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/108570567/castrate-your-television,1.6,-1,Boulder,V1,1,12.0,37.41747,-118.45136000000001,7,1,7,8
150,Western Round Up,Solarium Boulder > Central Happiness Area > Happy Boulders > Volcanic Tablelands (Happy/Sad Boulders) > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/106086128/western-round-up,1.9,-1,Boulder,V1,1,12.0,37.41737,-118.45125,56,22,23,131
151,Vision Arete,"More Water, Less Power Boulder > Central Happiness Area > Happy Boulders > Volcanic Tablelands (Happy/Sad Boulders) > Bishop Area > Sierra Eastside > California",https://www.mountainproject.com/route/106093077/vision-arete,1.8,-1,Boulder,V1,1,15.0,37.41724,-118.45103,14,5,6,36
152,Swing Your Partner,"More Water, Less Power Boulder > Central Happiness Area > Happy Boulders > Volcanic Tablelands (Happy/Sad Boulders) > Bishop Area > Sierra Eastside > California",https://www.mountainproject.com/route/106131986/swing-your-partner,2.0,-1,Boulder,V1,1,12.0,37.41724,-118.45103,39,11,15,61
153,Grant's Christmas Present,"More Water, Less Power Boulder > Central Happiness Area > Happy Boulders > Volcanic Tablelands (Happy/Sad Boulders) > Bishop Area > Sierra Eastside > California",https://www.mountainproject.com/route/106131992/grants-christmas-present,2.6,-1,Boulder,V1,1,10.0,37.41724,-118.45103,107,38,68,225
154,Heavenly Path,Heavenly Path Boulder > Central Happiness Area > Happy Boulders > Volcanic Tablelands (Happy/Sad Boulders) > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/105996532/heavenly-path,3.6,-1,Boulder,V1 PG13,1,25.0,37.41718,-118.45095,420,119,324,761
155,Crossed Paths,Heavenly Path Boulder > Central Happiness Area > Happy Boulders > Volcanic Tablelands (Happy/Sad Boulders) > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/106130398/crossed-paths,2.7,-1,Boulder,V1 PG13,1,25.0,37.41718,-118.45095,13,2,8,28
156,Unknown,Heavenly Path Boulder > Central Happiness Area > Happy Boulders > Volcanic Tablelands (Happy/Sad Boulders) > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/108306184/unknown,2.5,-1,Boulder,V1,1,20.0,37.41718,-118.45095,6,3,4,13
157,Hole in my Heart,Window Boulder > Central Happiness Area > Happy Boulders > Volcanic Tablelands (Happy/Sad Boulders) > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/107035596/hole-in-my-heart,2.1,-1,Boulder,V1,1,15.0,37.41711,-118.45128000000001,15,3,7,32
158,One-Pull,Back Walls > Action Figure Area > East Rim Area > Happy Boulders > Volcanic Tablelands (Happy/Sad Boulders) > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/106976674/one-pull,1.0,-1,Boulder,V1,1,12.0,37.41728,-118.45034,2,1,1,7
159,Immigration In The Media Is A Chossy Belly Bulge,Back Walls > Action Figure Area > East Rim Area > Happy Boulders > Volcanic Tablelands (Happy/Sad Boulders) > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/106976683/immigration-in-the-media-is-a-chossy-belly-bulge,1.8,-1,Boulder,V1,1,12.0,37.41728,-118.45034,4,2,1,9
160,Frontal Assault,The Citadel Boulder > Sixty Foot Woman/Shadow Play Area > East Rim Area > Happy Boulders > Volcanic Tablelands (Happy/Sad Boulders) > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/106996403/frontal-assault,-1.0,-1,Boulder,V1,1,,37.41793,-118.45156999999999,0,1,0,1
161,Make Me Believe I'm Not Going to Die,You Are Mortal Buttress > Sixty Foot Woman/Shadow Play Area > East Rim Area > Happy Boulders > Volcanic Tablelands (Happy/Sad Boulders) > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/106997202/make-me-believe-im-not-going-to-die,-1.0,-1,Boulder,V1,1,,37.41793,-118.45156999999999,0,1,1,1
162,Naked,Black Magic Boulder > Blood Simple Area > East Rim Area > Happy Boulders > Volcanic Tablelands (Happy/Sad Boulders) > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/106996976/naked,1.3,-1,Boulder,V1 X,1,20.0,37.41675,-118.44941999999999,3,3,1,1
163,Problem A,Blood Simple Wall > Blood Simple Area > East Rim Area > Happy Boulders > Volcanic Tablelands (Happy/Sad Boulders) > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/106997228/problem-a,1.0,-1,Boulder,V1,1,12.0,37.416959999999996,-118.44946999999999,1,1,0,3
164,Problem A,California Rim Boulder > Blood Simple Area > East Rim Area > Happy Boulders > Volcanic Tablelands (Happy/Sad Boulders) > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/106997216/problem-a,1.0,-1,Boulder,V1,1,8.0,37.41675,-118.44941999999999,1,1,0,3
165,Joel,Coen Brothers Boulder > Blood Simple Area > East Rim Area > Happy Boulders > Volcanic Tablelands (Happy/Sad Boulders) > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/106997369/joel,1.0,-1,Boulder,V1,1,12.0,37.41675,-118.44941999999999,1,1,0,3
166,Frisbee,Flying Saucer Rock > Blood Simple Area > East Rim Area > Happy Boulders > Volcanic Tablelands (Happy/Sad Boulders) > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/106997400/frisbee,1.0,-1,Boulder,V1,1,12.0,37.41675,-118.44941999999999,2,2,1,5
167,Yosemite Traverse,Flying Saucer Rock > Blood Simple Area > East Rim Area > Happy Boulders > Volcanic Tablelands (Happy/Sad Boulders) > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/114256082/yosemite-traverse,2.0,-1,Boulder,V1,1,,37.41675,-118.44941999999999,1,1,1,2
168,Problem A,Flying Saucer Alcove > Blood Simple Area > East Rim Area > Happy Boulders > Volcanic Tablelands (Happy/Sad Boulders) > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/106997411/problem-a,2.0,-1,Boulder,V1,1,15.0,37.41675,-118.44941999999999,1,1,1,3
169,OK: I'll Share With Charlie Bucket,The Uncracked Wall > Cracks On The Rim Area > East Rim Area > Happy Boulders > Volcanic Tablelands (Happy/Sad Boulders) > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/106977961/ok-ill-share-with-charlie-bucket,2.0,-1,Boulder,V1 PG13,1,15.0,37.41646,-118.44882,2,1,0,6
170,But Not With Willie Wonka,The Uncracked Wall > Cracks On The Rim Area > East Rim Area > Happy Boulders > Volcanic Tablelands (Happy/Sad Boulders) > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/106977968/but-not-with-willie-wonka,1.0,-1,Boulder,V1 PG13,1,15.0,37.41646,-118.44882,1,1,0,3
