route,location,url,avg_stars,your_stars,route_type,rating,pitches,length_,area_latitude,area_longitude,url_id,grade,star_ratings,suggested_ratings,on_to_do_lists,ticks
You Can Cry If You Want To,Hall of the Mountain Queens > The Otherworld > Druid Stones > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/107032732/you-can-cry-if-you-want-to,2.8,-1,Boulder,V1,1,15,37.30792,-118.43255,107032732,1,9,4,6,16
There Is No Party (Right),Hall of the Mountain Queens > The Otherworld > Druid Stones > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/107032743/there-is-no-party-right,2.9,-1,Boulder,V1,1,15,37.30792,-118.43255,107032743,1,17,5,7,28
Problem A,What's The Story Boulder > The Otherworld > Druid Stones > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/109724305/problem-a,1,-1,Boulder,V1,1,10,37.30782,-118.43311,109724305,1,1,1,0,2
Hueco Problem,Eyes Boulder > The Otherworld > Druid Stones > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/109731547/hueco-problem,2,-1,Boulder,V1,1,12,37.30749,-118.43253,109731547,1,1,1,2,2
Mister Gorgeous,The Long Ship > Long Ship Area > Druid Stones > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/114076715/mister-gorgeous,2,-1,Boulder,V1 PG13,1,20,37.30703,-118.43756,114076715,1,1,1,0,0
Gunhild,The Long Ship > Long Ship Area > Druid Stones > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/114076732/gunhild,2,-1,Boulder,V1,1,15,37.30703,-118.43756,114076732,1,1,1,0,1
Finland,Finland Boulder > Arch Drude Area > Druid Stones > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/108593042/finland,2,-1,Boulder,V1,1,25,37.30761,-118.43721,108593042,1,1,1,1,2
Stavros,Kojak Boulder > Wave Boulder Area > Druid Stones > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/107203702/stavros,1.8,-1,Boulder,V1,1,6,37.3071,-118.435,107203702,1,13,2,1,19
Problem A,Hall of the Mountain Queens > The Otherworld > Druid Stones > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/112348224/problem-a,3,-1,Boulder,V1+,1,15,37.30792,-118.43255,112348224,1.25,1,1,2,6
Through the Heart,Sacrificial Boulder > Druid Stones > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/106126770/through-the-heart,2.1,-1,Boulder,V1-2,1,12,37.30698,-118.43702,106126770,1.5,21,8,3,31
On a Whim,Wimmin Cave > Helluland Area > Druid Stones > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/114101179/on-a-whim,2,-1,Boulder,V1-2,1,8,37.30711,-118.43563,114101179,1.5,1,1,0,0
"Woodman, Woodman...",Sacrificial Boulder > Druid Stones > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/106279116/woodman-woodman,1.5,-1,Boulder,V2 PG13,1,15,37.30698,-118.43702,106279116,2,2,1,1,1
Trollkind,Sacrificial Boulder > Druid Stones > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/114101259/trollkind,1.5,-1,Boulder,V2,1,6,37.30698,-118.43702,114101259,2,2,2,1,0
Well of Weird,Golden Child Wall > Druid Stone Area > Druid Stones > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/108592930/well-of-weird,2,-1,Boulder,V2,1,16,37.30733,-118.4365,108592930,2,2,1,2,5
Winter Sun,Ice Flow > Druid Stone Area > Druid Stones > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/108620915/winter-sun,2.5,-1,Boulder,V2,1,12,37.30718,-118.43633,108620915,2,2,1,2,3
The Ice Shirt,Ice Flow > Druid Stone Area > Druid Stones > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/108620929/the-ice-shirt,1,-1,Boulder,V2 PG13,1,15,37.30718,-118.43633,108620929,2,1,1,1,2
There Is No Party (Left Variation),Hall of the Mountain Queens > The Otherworld > Druid Stones > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/107032753/there-is-no-party-left-variation,3,-1,Boulder,V2,1,15,37.30792,-118.43255,107032753,2,13,4,5,22
Pretty In Pink,Hall of the Mountain Queens > The Otherworld > Druid Stones > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/107032758/pretty-in-pink,3.1,-1,Boulder,V2,1,12,37.30792,-118.43255,107032758,2,12,3,6,20
On The Edge,Izzy Boulder > The Otherworld > Druid Stones > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/109724265/on-the-edge,2,-1,Boulder,V2,1,15,37.30782,-118.43321,109724265,2,1,1,2,2
If It's Not Norse It's Scottish,Norse Boulder > Long Ship Area > Druid Stones > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/108538721/if-its-not-norse-its-scottish,2,-1,Boulder,V2,1,8,37.30705,-118.43774,108538721,2,3,1,1,6
Roman Nose,White Man's Overbite Boulder > Skye Stone Area > Druid Stones > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/112529664/roman-nose,2,-1,Boulder,V2,1,,37.30766,-118.43622,112529664,2,1,1,0,1
Able-Bodied Goblin,Goblin Rock > Thunder Wall Area > Druid Stones > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/112529729/able-bodied-goblin,2.2,-1,Boulder,V2,1,8,37.30758,-118.4365,112529729,2,10,4,4,12
