route,location,url,avg_stars,your_stars,route_type,rating,pitches,length_,area_latitude,area_longitude,url_id,grade,star_ratings,suggested_ratings,on_to_do_lists,ticks
Mortal Combat (AKA:  Hand to Hamtaro),Hand to Hand Combat Wall > Hand to Hand Combat Area > West Rim Area > Happy Boulders > Volcanic Tablelands (Happy/Sad Boulders) > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/106996405/mortal-combat-aka-hand-to-hamtaro,2,-1,Boulder,V9,1,35,37.41588,-118.44993,106996405,9,3,2,1,0
Slave to the Grind,Grindrite Boulder > Tom Peter's Slab Area > Happy Boulders > Volcanic Tablelands (Happy/Sad Boulders) > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/109858900/slave-to-the-grind,3.2,-1,Boulder,V9,1,17,37.41602,-118.44909,109858900,9,6,4,10,6
Super Froz,Safe Surfer Boulder > Split Melon Area > Happy Boulders > Volcanic Tablelands (Happy/Sad Boulders) > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/111693593/super-froz,3,-1,Boulder,V9,1,,37.417,-118.4509,111693593,9,2,1,2,2
Toxic Avenger,Toxic Avenger Area > West Rim Area > Happy Boulders > Volcanic Tablelands (Happy/Sad Boulders) > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/106070991/toxic-avenger,3.2,-1,Boulder,V9+,1,8,37.4161,-118.45012,106070991,9.25,12,8,27,14
Tim's Fred Traverse,Fred Boulder > Savannah Area > Happy Boulders > Volcanic Tablelands (Happy/Sad Boulders) > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/112499980/tims-fred-traverse,2.5,-1,Boulder,V9+,1,14,37.4182,-118.4521,112499980,9.25,2,1,1,1
Acid Wash,Acid Wash Cave > Slow Dance/Gleaner Area > Happy Boulders > Volcanic Tablelands (Happy/Sad Boulders) > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/107029681/acid-wash,3.3,-1,Boulder,V10-,1,15,37.41625,-118.44931,107029681,9.75,27,15,52,43
Low Rider,Action Figure Cave > Action Figure Area > East Rim Area > Happy Boulders > Volcanic Tablelands (Happy/Sad Boulders) > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/106068454/low-rider,2.7,-1,Boulder,V10-,1,10,37.41749,-118.45018,106068454,9.75,6,3,12,4
Action Jackson,Action Figure Cave > Action Figure Area > East Rim Area > Happy Boulders > Volcanic Tablelands (Happy/Sad Boulders) > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/108763198/action-jackson,2.8,-1,Boulder,V10-,1,,37.41749,-118.45018,108763198,9.75,5,3,6,7
The Gleaner Sit,Gleaner Boulder > Slow Dance/Gleaner Area > Happy Boulders > Volcanic Tablelands (Happy/Sad Boulders) > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/112502006/the-gleaner-sit,3,-1,Boulder,V10,1,15,37.41631,-118.44951,112502006,10,5,3,13,5
Standing Kill Order,Slow Dance Cave > Slow Dance/Gleaner Area > Happy Boulders > Volcanic Tablelands (Happy/Sad Boulders) > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/109757452/standing-kill-order,3.9,-1,Boulder,V10,1,12,37.41624,-118.44938,109757452,10,7,6,27,8
Slow Dance,Slow Dance Cave > Slow Dance/Gleaner Area > Happy Boulders > Volcanic Tablelands (Happy/Sad Boulders) > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/111656550/slow-dance,2,-1,Boulder,V10,1,7,37.41624,-118.44938,111656550,10,4,1,6,2
Redrum Sit,Solarium Boulder > Central Happiness Area > Happy Boulders > Volcanic Tablelands (Happy/Sad Boulders) > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/108493617/redrum-sit,3,-1,Boulder,V10,1,6,37.41737,-118.45125,108493617,10,8,6,13,11
Human Contraband,Action Figure Cave > Action Figure Area > East Rim Area > Happy Boulders > Volcanic Tablelands (Happy/Sad Boulders) > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/114261154/human-contraband,2,-1,Boulder,V10 PG13,1,10,37.41749,-118.45018,114261154,10,1,1,0,0
Bubba Gets Committed,Toxic Avenger Area > West Rim Area > Happy Boulders > Volcanic Tablelands (Happy/Sad Boulders) > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/111683979/bubba-gets-committed,2.5,-1,Boulder,V10,1,,37.4161,-118.45012,111683979,10,4,2,4,4
Don't Forget the Lube,Karma Alcove > Serengeti Area > Happy Boulders > Volcanic Tablelands (Happy/Sad Boulders) > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/114104175/dont-forget-the-lube,2,-1,Boulder,V10,1,11,37.41855,-118.45283,114104175,10,1,1,0,0
He Got Game,Toxic Avenger Area > West Rim Area > Happy Boulders > Volcanic Tablelands (Happy/Sad Boulders) > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/112501954/he-got-game,2,-1,Boulder,V10-11 PG13,1,16,37.4161,-118.45012,112501954,10.5,2,1,3,1
Kill On Sight,Slow Dance Cave > Slow Dance/Gleaner Area > Happy Boulders > Volcanic Tablelands (Happy/Sad Boulders) > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/109757458/kill-on-sight,4,-1,Boulder,V11,1,15,37.41624,-118.44938,109757458,11,4,3,23,6
Bubba: The Legend,Toxic Avenger Area > West Rim Area > Happy Boulders > Volcanic Tablelands (Happy/Sad Boulders) > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/111683630/bubba-the-legend,3,-1,Boulder,V11,1,,37.4161,-118.45012,111683630,11,1,1,6,1
The Bubba Butt Buster,Toxic Avenger Area > West Rim Area > Happy Boulders > Volcanic Tablelands (Happy/Sad Boulders) > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/111683948/the-bubba-butt-buster,2.7,-1,Boulder,V11,1,,37.4161,-118.45012,111683948,11,3,1,3,3
Swordfish Trombone,Trombone Area > East Rim Area > Happy Boulders > Volcanic Tablelands (Happy/Sad Boulders) > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/108924183/swordfish-trombone,2.5,-1,Boulder,V11-12,1,15,37.4171,-118.44991,108924183,11.5,2,1,5,1
Bubba Lobotomy,Toxic Avenger Area > West Rim Area > Happy Boulders > Volcanic Tablelands (Happy/Sad Boulders) > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/111683617/bubba-lobotomy,3.5,-1,Boulder,V12,1,,37.4161,-118.45012,111683617,12,2,1,4,1
Goldfish Trombone,Trombone Area > East Rim Area > Happy Boulders > Volcanic Tablelands (Happy/Sad Boulders) > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/108924212/goldfish-trombone,4,-1,Boulder,V14,1,20,37.4171,-118.44991,108924212,14,2,1,5,1
