Route,Location,URL,"Avg Stars","Your Stars","Route Type",Rating,Pitches,Length,"Area Latitude","Area Longitude"
"Buttermilk Stem","Buttermilk Stem Boulder > Buttermilk Stem Area > Buttermilks Main > Buttermilk Country > Bishop Area > Sierra Eastside > California",https://www.mountainproject.com/route/106130698/buttermilk-stem,3.5,-1,Boulder,V1,1,15,37.32906,-118.5768
"Buttermilk Gem","Rowell Rock > Buttermilk Stem Area > Buttermilks Main > Buttermilk Country > Bishop Area > Sierra Eastside > California",https://www.mountainproject.com/route/106130735/buttermilk-gem,3.0,-1,Boulder,"V1 R",1,28,37.32878,-118.57687
"Junior's Arete","Rowell Rock > Buttermilk Stem Area > Buttermilks Main > Buttermilk Country > Bishop Area > Sierra Eastside > California",https://www.mountainproject.com/route/106130759/juniors-arete,2.4,-1,Boulder,V1,1,20,37.32878,-118.57687
"Problem A","Rowell Rock > Buttermilk Stem Area > Buttermilks Main > Buttermilk Country > Bishop Area > Sierra Eastside > California",https://www.mountainproject.com/route/106322590/problem-a,2.2,-1,Boulder,"V1 PG13",1,25,37.32878,-118.57687
"Problem B","Rowell Rock > Buttermilk Stem Area > Buttermilks Main > Buttermilk Country > Bishop Area > Sierra Eastside > California",https://www.mountainproject.com/route/106322596/problem-b,2.1,-1,Boulder,"V1 PG13",1,20,37.32878,-118.57687
"Warm up to Hobbs","Corner Boulders > Buttermilks Main > Buttermilk Country > Bishop Area > Sierra Eastside > California",https://www.mountainproject.com/route/114316113/warm-up-to-hobbs,3.0,-1,Boulder,V1,1,12,37.32909,-118.57791
"Unnamed V1","Boy and Girl Rocks > Buttermilks Main > Buttermilk Country > Bishop Area > Sierra Eastside > California",https://www.mountainproject.com/route/107030002/unnamed-v1,2.1,-1,Boulder,V1,1,12,37.32993,-118.57853
Flakes,"Buttocks/Smooth Shrimp Boulder > Buttermilks Main > Buttermilk Country > Bishop Area > Sierra Eastside > California",https://www.mountainproject.com/route/108002634/flakes,2.6,-1,Boulder,V1,1,,37.32923,-118.57528
"The Buttocks","Buttocks/Smooth Shrimp Boulder > Buttermilks Main > Buttermilk Country > Bishop Area > Sierra Eastside > California",https://www.mountainproject.com/route/108002643/the-buttocks,2.0,-1,Boulder,V1,1,,37.32923,-118.57528
"The Womb (Birthing Experience)","Womb Boulder > Buttermilks Main > Buttermilk Country > Bishop Area > Sierra Eastside > California",https://www.mountainproject.com/route/107052779/the-womb-birthing-experience,3.0,-1,Boulder,V1,1,12,37.329,-118.57473
Tubular,"Sharma Traverse Boulder > Buttermilks Main > Buttermilk Country > Bishop Area > Sierra Eastside > California",https://www.mountainproject.com/route/114189856/tubular,3.0,-1,Boulder,V1,1,12,37.32954,-118.57498
"Heart Prow","Heart Prow Boulder > Zeppelin Area > Dale's Camp > Buttermilk Country > Bishop Area > Sierra Eastside > California",https://www.mountainproject.com/route/108088018/heart-prow,2.5,-1,Boulder,V1,1,,37.3184,-118.5741
"No Chicken","Chicken Head Boulder > Zeppelin Area > Dale's Camp > Buttermilk Country > Bishop Area > Sierra Eastside > California",https://www.mountainproject.com/route/116715500/no-chicken,2.0,-1,Boulder,V1,1,12,37.31826,-118.5744
Ballbuster,"Queen Sweet Nectar Boulder > Secrets of the Beehive Area > Beehive Area > Buttermilk Country > Bishop Area > Sierra Eastside > California",https://www.mountainproject.com/route/112499920/ballbuster,2.0,-1,Boulder,V1,1,20,37.33684,-118.57604
"Boneyard Rail Problem","Boneyard Area > Painted Cave Area > Buttermilk Country > Bishop Area > Sierra Eastside > California",https://www.mountainproject.com/route/111715390/boneyard-rail-problem,2.0,-1,Boulder,V1,1,14,37.32143,-118.58055
"The Shard","Warmup Boulders > Bardini Boulders > Buttermilk Country > Bishop Area > Sierra Eastside > California",https://www.mountainproject.com/route/114054351/the-shard,2.0,-1,Boulder,V1,1,,37.31829,-118.5863
