Route,Location,URL,"Avg Stars","Your Stars","Route Type",Rating,Pitches,Length,"Area Latitude","Area Longitude"
"Behind the Mothership","Ice Caves > Sad Boulders > Volcanic Tablelands (Happy/Sad Boulders) > Bishop Area > Sierra Eastside > California",https://www.mountainproject.com/route/106340986/behind-the-mothership,1.8,-1,Boulder,V-easy,1,15,37.42254,-118.43364
"The Hysterical Bear Incident","Jerry Falwell Boulder > Prozac Nation Bluffs > Sad Boulders > Volcanic Tablelands (Happy/Sad Boulders) > Bishop Area > Sierra Eastside > California",https://www.mountainproject.com/route/106642810/the-hysterical-bear-incident,1.0,-1,Boulder,V-easy,1,12,37.42324,-118.43279
"Low-Angle Arete","Hauck a Loogie Boulder > Ice Caves, Outer Area > Sad Boulders > Volcanic Tablelands (Happy/Sad Boulders) > Bishop Area > Sierra Eastside > California",https://www.mountainproject.com/route/106637336/low-angle-arete,1.3,-1,Boulder,V-easy,1,10,37.42232,-118.43364
Flush,"Eastern Rim > Ice Caves, Outer Area > Sad Boulders > Volcanic Tablelands (Happy/Sad Boulders) > Bishop Area > Sierra Eastside > California",https://www.mountainproject.com/route/106669817/flush,2.7,-1,Boulder,V-easy,1,8,37.42232,-118.43364
"Hands On Slab","Water Colors Alcove > Pow Pow Area > Sad Boulders > Volcanic Tablelands (Happy/Sad Boulders) > Bishop Area > Sierra Eastside > California",https://www.mountainproject.com/route/106643024/hands-on-slab,2.0,-1,Boulder,V-easy,1,8,37.42112,-118.43318
Flake,"Sad Parrot Boulder > Sad Parrot Area > Sad Boulders > Volcanic Tablelands (Happy/Sad Boulders) > Bishop Area > Sierra Eastside > California",https://www.mountainproject.com/route/106739980/flake,1.8,-1,Boulder,V-easy,1,10,37.4217,-118.43308
Unnamed,"Central Joyless Area > Sad Boulders > Volcanic Tablelands (Happy/Sad Boulders) > Bishop Area > Sierra Eastside > California",https://www.mountainproject.com/route/106108593/unnamed,1.1,-1,Boulder,V0-,1,12,37.41759,-118.43276
"Brown Slab","Brown Slab > Sad Boulders > Volcanic Tablelands (Happy/Sad Boulders) > Bishop Area > Sierra Eastside > California",https://www.mountainproject.com/route/106108658/brown-slab,2.3,-1,Boulder,"V0- PG13",1,15,37.4191,-118.434
"The Arete","Flake Boulder > Misery Area > Sad Boulders > Volcanic Tablelands (Happy/Sad Boulders) > Bishop Area > Sierra Eastside > California",https://www.mountainproject.com/route/106954490/the-arete,2.8,-1,Boulder,V0-,1,12,37.41759,-118.43276
Fingercrack,"Ice Caves > Sad Boulders > Volcanic Tablelands (Happy/Sad Boulders) > Bishop Area > Sierra Eastside > California",https://www.mountainproject.com/route/111648845/fingercrack,2.9,-1,Boulder,V0,1,15,37.42254,-118.43364
"China Doll","Molly Area > Sad Boulders > Volcanic Tablelands (Happy/Sad Boulders) > Bishop Area > Sierra Eastside > California",https://www.mountainproject.com/route/106617251/china-doll,3.3,-1,Boulder,V0,1,18,37.42075,-118.43391
"Girl Call","Molly Area > Sad Boulders > Volcanic Tablelands (Happy/Sad Boulders) > Bishop Area > Sierra Eastside > California",https://www.mountainproject.com/route/107018232/girl-call,2.4,-1,Boulder,V0,1,20,37.42075,-118.43391
Mothers,"Molly Area > Sad Boulders > Volcanic Tablelands (Happy/Sad Boulders) > Bishop Area > Sierra Eastside > California",https://www.mountainproject.com/route/107566457/mothers,2.3,-1,Boulder,V0,1,,37.42075,-118.43391
Spacehopper,"Central Joyless Area > Sad Boulders > Volcanic Tablelands (Happy/Sad Boulders) > Bishop Area > Sierra Eastside > California",https://www.mountainproject.com/route/106108578/spacehopper,1.8,-1,Boulder,V0,1,15,37.41759,-118.43276
"Bouncing Babies","Central Joyless Area > Sad Boulders > Volcanic Tablelands (Happy/Sad Boulders) > Bishop Area > Sierra Eastside > California",https://www.mountainproject.com/route/106108586/bouncing-babies,1.5,-1,Boulder,V0,1,12,37.41759,-118.43276
"Unnamed 1","Brown Slab > Sad Boulders > Volcanic Tablelands (Happy/Sad Boulders) > Bishop Area > Sierra Eastside > California",https://www.mountainproject.com/route/106108644/unnamed-1,2.0,-1,Boulder,V0,1,12,37.4191,-118.434
"The Crack","The Snapper Boulder > Prozac Nation Bluffs > Sad Boulders > Volcanic Tablelands (Happy/Sad Boulders) > Bishop Area > Sierra Eastside > California",https://www.mountainproject.com/route/106642866/the-crack,1.4,-1,Boulder,V0,1,12,37.42324,-118.43279
"Crack and Wall","The Snapper Boulder > Prozac Nation Bluffs > Sad Boulders > Volcanic Tablelands (Happy/Sad Boulders) > Bishop Area > Sierra Eastside > California",https://www.mountainproject.com/route/106642886/crack-and-wall,1.5,-1,Boulder,V0,1,12,37.42324,-118.43279
