,Route,ID,Avg Stars,Grade,Length,Area Latitude,Area Longitude,StarRatings,SuggestedRatings,OnToDoLists,Ticks
118,Commando,106346054,1.0,-1,15.0,33.9423,-116.0782,2,2,3,1
119,Beginners Crack,107088136,1.5,-1,6.0,33.9664,-116.0872,2,2,6,3
120,Unnamed Prob 1,1071038641,0.0,-1,,33.9664,-116.0872,0,1,1,0
121,Sunlight Line Center,107103905,0.0,-1,,33.9664,-116.0872,0,1,2,0
122,Sunlight Line Right,107103915,0.0,-1,,33.9664,-116.0872,0,1,2,0
123,Ace,106039411,1.4,-1,10.0,33.9962,-116.15,9,4,4,18
124,Deuce,106039429,1.1,-1,10.0,33.9962,-116.15,7,3,4,15
125,One-Eyed Jack,106655589,1.5,-1,15.0,33.9962,-116.15,4,3,2,5
126,Problem A,108053606,1.0,-1,10.0,33.9962,-116.15,4,3,1,5
127,Gnarly Barley,106711018,1.0,-1,12.0,33.9962,-116.15,6,2,1,7
128,Nutri-Grain,106711028,1.0,-1,11.0,33.9962,-116.15,7,2,2,11
129,Diamond in the Rough,106090956,1.7,-1,12.0,33.9962,-116.15,13,4,6,27
130,Game of Chance,106130548,1.1,-1,12.0,33.9962,-116.15,7,1,2,11
131,Small World,106736726,1.9,-1,10.0,33.9862,-116.16,16,4,9,25
132,Spud Crack,106039381,1.8,-1,15.0,33.9871,-116.1589,23,8,23,35
133,Fluff,107429203,1.2,-1,12.0,33.9863,-116.1602,5,3,2,5
134,Greenhorn  Route,106379335,1.7,-0.75,20.0,34.0169,-116.0421,3,1,6,3
135,Enclave,106380286,1.0,-1,20.0,34.0169,-116.0421,1,1,2,1
136,Piano Crack,106149998,2.4,-1,23.0,34.02807,-116.14776,27,7,55,60
137,Junior,106126059,1.0,-1,13.0,34.0263,-116.1415,4,4,4,2
138,Babyface,106126074,1.5,-1,13.0,34.0263,-116.1415,4,4,5,2
139,Lipitor,106354480,1.3,-1,10.0,34.0263,-116.1415,4,2,5,4
140,Lipless,106354493,1.0,-1,10.0,34.0263,-116.1415,3,2,2,3
141,Native Son,106345920,1.0,-1,10.0,34.0263,-116.1415,2,2,8,3
142,JBMF Descent Route,105725458,1.0,-1,10.0,34.0148,-116.16539,14,6,7,22
143,Descent Route,106114651,2.2,-1,20.0,34.0148,-116.16539,31,8,33,48
