route,location,url,avg_stars,your_stars,route_type,rating,pitches,length_,area_latitude,area_longitude,url_id,grade,star_ratings,suggested_ratings,on_to_do_lists,ticks
Which One's Pink?,Central Joyless Area > Sad Boulders > Volcanic Tablelands (Happy/Sad Boulders) > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/109140325/which-ones-pink,1.8,-1,Boulder,V2,1,15,37.41759,-118.43276,109140325,2,5,3,1,4
Fire Pit,The Snapper Boulder > Prozac Nation Bluffs > Sad Boulders > Volcanic Tablelands (Happy/Sad Boulders) > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/106642880/fire-pit,3.1,-1,Boulder,V2 PG13,1,18,37.42324,-118.43279,106642880,2,18,4,9,28
Diamond,Crystal Boulder > Prozac Nation Bluffs > Sad Boulders > Volcanic Tablelands (Happy/Sad Boulders) > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/106642768/diamond,2,-1,Boulder,V2,1,15,37.42324,-118.43279,106642768,2,10,2,4,14
Prozac Nation,Prozac Nation Boulder > Prozac Nation Bluffs > Sad Boulders > Volcanic Tablelands (Happy/Sad Boulders) > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/106642831/prozac-nation,3,-1,Boulder,V2,1,15,37.42324,-118.43279,106642831,2,44,10,58,67
Porn Again Christian,Jerry Falwell Boulder > Prozac Nation Bluffs > Sad Boulders > Volcanic Tablelands (Happy/Sad Boulders) > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/106642815/porn-again-christian,1.3,-1,Boulder,V2,1,12,37.42324,-118.43279,106642815,2,3,1,1,6
Shit Talk,Talk Talk Boulder > Prozac Nation Bluffs > Sad Boulders > Volcanic Tablelands (Happy/Sad Boulders) > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/106642922/shit-talk,1,-1,Boulder,V2,1,10,37.42324,-118.43279,106642922,2,1,1,0,2
Thread The Needle,Valium Boulder > Prozac Nation Bluffs > Sad Boulders > Volcanic Tablelands (Happy/Sad Boulders) > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/106642941/thread-the-needle,1.8,-1,Boulder,V2,1,12,37.42324,-118.43279,106642941,2,4,2,2,5
Emma,"Emma's Boulder > Ice Caves, Outer Area > Sad Boulders > Volcanic Tablelands (Happy/Sad Boulders) > Bishop Area > Sierra Eastside > California",https://www.mountainproject.com/route/106669824/emma,2,-1,Boulder,V2,1,15,37.42232,-118.43364,106669824,2,14,4,5,27
Still Life,Pow Pow Alcove > Pow Pow Area > Sad Boulders > Volcanic Tablelands (Happy/Sad Boulders) > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/106642988/still-life,2.4,-1,Boulder,V2,1,10,37.42112,-118.43318,106642988,2,14,6,14,20
Oil on Canvas - Alternate,Pow Pow Alcove > Pow Pow Area > Sad Boulders > Volcanic Tablelands (Happy/Sad Boulders) > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/106643006/oil-on-canvas-alternate,2.3,-1,Boulder,V2,1,,37.42112,-118.43318,106643006,2,4,2,1,7
Sun Spot,Sun Spot Boulder > Pow Pow Area > Sad Boulders > Volcanic Tablelands (Happy/Sad Boulders) > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/106669600/sun-spot,2.7,-1,Boulder,V2,1,12,37.4211,-118.4335,106669600,2,14,4,4,30
Blue,Norwegian Blue Boulder > Sad Parrot Area > Sad Boulders > Volcanic Tablelands (Happy/Sad Boulders) > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/106731665/blue,2.1,-1,Boulder,V2,1,12,37.4217,-118.43308,106731665,2,11,7,2,14
Bob Parrot (of Maine),Sad Parrot Boulder > Sad Parrot Area > Sad Boulders > Volcanic Tablelands (Happy/Sad Boulders) > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/106740032/bob-parrot-of-maine,2.4,-1,Boulder,V2,1,8,37.4217,-118.43308,106740032,2,17,3,6,28
Psycho Billy Cadillac,Psycho Billy Boulder > Kindergarten Area > Sad Boulders > Volcanic Tablelands (Happy/Sad Boulders) > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/106915515/psycho-billy-cadillac,1,-1,Boulder,V2,1,8,37.4228,-118.4343,106915515,2,1,1,1,2
Problem A,Beano Boulder > Kindergarten Area > Sad Boulders > Volcanic Tablelands (Happy/Sad Boulders) > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/106915528/problem-a,1.5,-1,Boulder,V2,1,10,37.4227,-118.4345,106915528,2,2,1,0,2
Fish Sticks,Boneless Herring Boulder > Kung-Fu Area > Sad Boulders > Volcanic Tablelands (Happy/Sad Boulders) > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/107018135/fish-sticks,2.3,-1,Boulder,V2,1,20,37.41934,-118.43437,107018135,2,6,2,3,12
Valium,Valium Boulder > Prozac Nation Bluffs > Sad Boulders > Volcanic Tablelands (Happy/Sad Boulders) > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/106642936/valium,2,-1,Boulder,V2+,1,12,37.42324,-118.43279,106642936,2.25,3,1,2,4
Hauck A Loogie,"Hauck a Loogie Boulder > Ice Caves, Outer Area > Sad Boulders > Volcanic Tablelands (Happy/Sad Boulders) > Bishop Area > Sierra Eastside > California",https://www.mountainproject.com/route/106637358/hauck-a-loogie,2.1,-1,Boulder,V2+,1,12,37.42232,-118.43364,106637358,2.25,11,9,1,17
Problem A,"Chef's Boulder - East Side > Ice Caves, Outer Area > Sad Boulders > Volcanic Tablelands (Happy/Sad Boulders) > Bishop Area > Sierra Eastside > California",https://www.mountainproject.com/route/106669794/problem-a,1.3,-1,Boulder,V2+,1,8,37.42232,-118.43364,106669794,2.25,3,2,1,9
