route,location,url,avg_stars,your_stars,route_type,rating,pitches,length_,area_latitude,area_longitude,url_id,grade
Boneyard Rail Problem,Boneyard Area > Painted Cave Area > Buttermilk Country > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/111715390/boneyard-rail-problem,2.0,-1,Boulder,V1,1,14.0,37.32143,-118.58055,111715390,1.0
The Shard,Warmup Boulders > Bardini Boulders > Buttermilk Country > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/114054351/the-shard,2.0,-1,Boulder,V1,1,,37.318290000000005,-118.5863,114054351,1.0
White Face,Warmup Boulders > Bardini Boulders > Buttermilk Country > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/114054765/white-face,2.0,-1,Boulder,V1,1,,37.318290000000005,-118.5863,114054765,1.0
The Glass House Arete,The Glass House > The Glass House > Buttermilk Country > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/114054434/the-glass-house-arete,2.0,-1,Boulder,V1 PG13,1,20.0,37.31538,-118.5724,114054434,1.0
Unknown,Creek Boulder > Heaven > Buttermilk Country > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/114054520/unknown,2.0,-1,"Boulder, Alpine",V1,1,,37.28557,-118.64861,114054520,1.0
West Face,Whale Boulder > Heaven > Buttermilk Country > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/114054598/west-face,2.0,-1,"Boulder, Alpine",V1 PG13,1,,37.28602,-118.64943999999998,114054598,1.0
West Arete,Tang > Heaven > Buttermilk Country > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/114054638/west-arete,2.0,-1,"Boulder, Alpine",V1,1,,37.28499,-118.65077,114054638,1.0
Unnamed V2,Iron Man Boulder > Iron Man Area > Buttermilks Main > Buttermilk Country > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/107370951/unnamed-v2,2.3,-1,Boulder,V1+,1,,37.330009999999994,-118.57811000000001,107370951,1.25
Unnamed,Lower Smoking Boulder > Buttermilks Main > Buttermilk Country > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/107347384/unnamed,2.4,-1,Boulder,V1+,1,20.0,37.32881,-118.57468999999999,107347384,1.25
Pothole Traverse,Pothole Boulder > Buttermilk Stem Area > Buttermilks Main > Buttermilk Country > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/106130742/pothole-traverse,2.5,-1,Boulder,V1-2,1,,37.32885,-118.57667,106130742,1.5
Wanderlust,Lidija / Pollen Grain Boulder > Pollen Grains / Lidija Boulders > Buttermilk Country > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/107027383/wanderlust,2.4,-1,Boulder,V2,1,,37.3377,-118.5701,107027383,2.0
Hunting Dog,Lidija / Pollen Grain Boulder > Pollen Grains / Lidija Boulders > Buttermilk Country > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/108477060/hunting-dog,2.3,-1,Boulder,V2,1,12.0,37.3377,-118.5701,108477060,2.0
Cover Me With Flowers,Honey Boulder > Pollen Grains / Lidija Boulders > Buttermilk Country > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/108054574/cover-me-with-flowers,3.3,-1,Boulder,V2,1,,37.336999999999996,-118.5702,108054574,2.0
Timothy Leary Presents...,The Hive Boulder > Pollen Grains / Lidija Boulders > Buttermilk Country > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/112252241/timothy-leary-presents,3.4,-1,Boulder,V2,1,20.0,37.33781,-118.57337,112252241,2.0
North Face Direct,Grandma Peabody Boulder > Peabody Boulders > Buttermilks Main > Buttermilk Country > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/106378692/north-face-direct,3.3,-1,Boulder,V2,1,20.0,37.32837,-118.57479,106378692,2.0
Birthday Left (SDS),Birthday Boulders > Buttermilks Main > Buttermilk Country > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/106027084/birthday-left-sds,2.1,-1,Boulder,V2,1,12.0,37.330040000000004,-118.57901000000001,106027084,2.0
The Prow,Birthday Boulders > Buttermilks Main > Buttermilk Country > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/106131018/the-prow,2.8,-1,Boulder,V2,1,16.0,37.330040000000004,-118.57901000000001,106131018,2.0
North Roof Crack,Birthday Boulders > Buttermilks Main > Buttermilk Country > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/106495109/north-roof-crack,2.3,-1,Boulder,V2,1,,37.330040000000004,-118.57901000000001,106495109,2.0
Inner Sanctum,Cave Boulder > Cave Area > Buttermilks Main > Buttermilk Country > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/107064103/inner-sanctum,2.4,-1,Boulder,V2,1,8.0,37.32863,-118.57633999999999,107064103,2.0
Green Wall Essential,Green Wall Boulder > Buttermilks Main > Buttermilk Country > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/105936142/green-wall-essential,3.1,-1,Boulder,V2,1,20.0,37.32873,-118.57534,105936142,2.0
